file_id,filepath,type,subset
AClassicEducation-NightOwl.wav,/Data/musdb18_24000/AClassicEducation-NightOwl.wav,input,train
AMContra-HeartPeripheral.wav,/Data/musdb18_24000/AMContra-HeartPeripheral.wav,input,train
ANiMAL-ClinicA.wav,/Data/musdb18_24000/ANiMAL-ClinicA.wav,input,train
ANiMAL-EasyTiger.wav,/Data/musdb18_24000/ANiMAL-EasyTiger.wav,input,train
ANiMAL-Rockshow.wav,/Data/musdb18_24000/ANiMAL-Rockshow.wav,input,train
Actions-Devil'sWords.wav,/Data/musdb18_24000/Actions-Devil'sWords.wav,input,train
Actions-OneMinuteSmile.wav,/Data/musdb18_24000/Actions-OneMinuteSmile.wav,input,train
Actions-SouthOfTheWater.wav,/Data/musdb18_24000/Actions-SouthOfTheWater.wav,input,train
AimeeNorwich-Child.wav,/Data/musdb18_24000/AimeeNorwich-Child.wav,input,train
AlJames-SchoolboyFacination.wav,/Data/musdb18_24000/AlJames-SchoolboyFacination.wav,input,train
AlexanderRoss-GoodbyeBolero.wav,/Data/musdb18_24000/AlexanderRoss-GoodbyeBolero.wav,input,train
AlexanderRoss-VelvetCurtain.wav,/Data/musdb18_24000/AlexanderRoss-VelvetCurtain.wav,input,train
AngelaThomasWade-MilkCowBlues.wav,/Data/musdb18_24000/AngelaThomasWade-MilkCowBlues.wav,input,train
AngelsInAmplifiers-I'mAlright.wav,/Data/musdb18_24000/AngelsInAmplifiers-I'mAlright.wav,input,train
Arise-RunRunRun.wav,/Data/musdb18_24000/Arise-RunRunRun.wav,input,train
AtlantisBound-ItWasMyFaultForWaiting.wav,/Data/musdb18_24000/AtlantisBound-ItWasMyFaultForWaiting.wav,input,train
Auctioneer-OurFutureFaces.wav,/Data/musdb18_24000/Auctioneer-OurFutureFaces.wav,input,train
AvaLuna-Waterduct.wav,/Data/musdb18_24000/AvaLuna-Waterduct.wav,input,train
BKS-Bulldozer.wav,/Data/musdb18_24000/BKS-Bulldozer.wav,input,train
BKS-TooMuch.wav,/Data/musdb18_24000/BKS-TooMuch.wav,input,train
BenCarrigan-We'llTalkAboutItAllTonight.wav,/Data/musdb18_24000/BenCarrigan-We'llTalkAboutItAllTonight.wav,input,train
BigTroubles-Phantom.wav,/Data/musdb18_24000/BigTroubles-Phantom.wav,input,train
BillChudziak-ChildrenOfNo-one.wav,/Data/musdb18_24000/BillChudziak-ChildrenOfNo-one.wav,input,train
BlackBloc-IfYouWantSuccess.wav,/Data/musdb18_24000/BlackBloc-IfYouWantSuccess.wav,input,train
BobbyNobody-StitchUp.wav,/Data/musdb18_24000/BobbyNobody-StitchUp.wav,input,train
Buitraker-RevoX.wav,/Data/musdb18_24000/Buitraker-RevoX.wav,input,train
CarlosGonzalez-APlaceForUs.wav,/Data/musdb18_24000/CarlosGonzalez-APlaceForUs.wav,input,train
CelestialShore-DieForUs.wav,/Data/musdb18_24000/CelestialShore-DieForUs.wav,input,train
ChrisDurban-Celebrate.wav,/Data/musdb18_24000/ChrisDurban-Celebrate.wav,input,train
ClaraBerryAndWooldog-AirTraffic.wav,/Data/musdb18_24000/ClaraBerryAndWooldog-AirTraffic.wav,input,train
ClaraBerryAndWooldog-Stella.wav,/Data/musdb18_24000/ClaraBerryAndWooldog-Stella.wav,input,train
ClaraBerryAndWooldog-WaltzForMyVictims.wav,/Data/musdb18_24000/ClaraBerryAndWooldog-WaltzForMyVictims.wav,input,train
CnocAnTursa-Bannockburn.wav,/Data/musdb18_24000/CnocAnTursa-Bannockburn.wav,input,train
Creepoid-OldTree.wav,/Data/musdb18_24000/Creepoid-OldTree.wav,input,train
CristinaVane-SoEasy.wav,/Data/musdb18_24000/CristinaVane-SoEasy.wav,input,train
DarkRide-BurningBridges.wav,/Data/musdb18_24000/DarkRide-BurningBridges.wav,input,train
